Item;Atividade;Gerencia;Setor;Regulado;Cidade;Mes;MesAgendado;MesRealizado;GIASO;Processo;PCDP;Prioridade
N0489-26;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"A definir";A definir;;;;"";"";"";"A"
N0490-26;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"A definir";A definir;;;;"";"";"";"A"
N0491-26;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"A definir";A definir;;;;"";"";"";"A"
N0492-26;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"A definir";A definir;;;;"";"";"";"A"
N0493-26;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"A definir";A definir;;;;"";"";"";"A"
N0494-26;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"Praia do Futuro";Fortaleza - CE;Abr;Abr;Abr;"SFI";"00058.033488/2026-33";"674/2026";"A"
N0495-26;"OP90-501 - Inspeção de Vigilância de Sistema de Gerenciamento da Segurança Operacional da Unidade Aérea Pública (UAP)";GOAG;GOAG_GTVC;"POLÍCIA MILITAR DO ESTADO DO PARANÁ BPMOA - PMPR";Curitiba-PR;Jun;Mai;Mai;"eduardo.berendonk";"00058.029232/2026-21";"remota";"A"
