Item;Atividade;Gerencia;Setor;Regulado;Cidade;Mes;MesAgendado;MesRealizado;GIASO;Processo;PCDP;Prioridade
2316-24;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"AERO STAR TAXI AEREO LTDA";Salvador - BA;Fev;Fev;Fev;"luciano.soares";"00058.086671/2023-99";"GRC 143/2024";"A"
2317-24;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"ALPHAJETS TAXI AEREO LTDA";Jundiaí - SP;Nov;Nov;Nov;"gesse.silva";"00058.086672/2023-33";"GRC 1920/2024 1920/2024";"A"
2318-24;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"BIMAVA TAXI AEREO LTDA";São Paulo - SP;Set;Out;Out;"jose.cosendei";"00058.086675/2023-77";"OS 1359/2024";"A"
2319-24;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"BRABO TÁXI AÉREO LTDA";Belém - PA;Ago;Ago;Ago;"paulo.jesus";"00058.086677/2023-66";"GRC 736/2024";"A"
2320-24;"O135-507 - Inspeção de Vigilância de Voo de Acompanhamento";GOAG;GOAG_GTVC;"AZUL CONECTA LTDA";Rio de Janeiro - RJ;Out;Ago;Ago;"carlos.montino";"00058.058190/2024-74";"1371/2024";"A"
2321-24;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"DS AIR TAXI AEREO LTDA";Rio de Janeiro - RJ;Nov;Out;Out;"paulo.jesus";"00058.086681/2023-24";"GRC 1788/2024";"A"
2322-24;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"EASY TÁXI AÉREO LTDA";Fortaleza - CE;Mar;Mar;Mar;"jose.cosendei";"00058.086682/2023-79";"144/2024";"A"
2323-24;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"EXECUTIVE AIR TÁXI AÉREO LTDA";Curitiba - PR;Fev;Fev;Fev;"jose.cosendei";"00058.086684/2023-68";"142/2024";"A"
2324-24;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"AEROSPEED TAXI AEREO LTDA";Ribeirão Preto - SP;Out;Set;Set;"jose.cosendei";"00058.017475/2024-55";"GRC 1237/2024";"A"
2325-24;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"FLYUNI TAXI AEREO LTDA";Porto Belo - SC;Ago;Ago;Ago;"jose.cosendei";"00058.086687/2023-00";"GRC 721/2024";"A"
2326-24;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"GOLD AIR TAXI AEREO LTDA";Várzea Grande - MT;Ago;Ago;Ago;"luciano.soares";"00058.086688/2023-46";"GRC 629/2024 629/2024";"A"
2327-24;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"NEO TAXI AEREO LTDA";Goiânia - GO;Mai;Mai;Mai;"paulo.jesus";"00058.086691/2023-60";"GRC 533/2024";"A"
2328-24;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"SALES TÁXI AÉREO LTDA";São Paulo - SP;Out;Out;Out;"jose.cosendei";"00058.086692/2023-12";"GRC 1359/2024 1359/2024";"A"
2329-24;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"SPCTA TÁXI AÉREO LTDA.";São Roque - SP;Ago;Jul;Jul;"luciano.soares";"00058.086693/2023-59";"GRC 823/2024";"A"
2330-24;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"TÁXI AÉREO CONFIANÇA LTDA";Fortaleza - CE;Set;Set;Set;"jose.cosendei";"00058.086694/2023-01";"GRC 724/2024";"A"
2331-24;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"ULTRA PLANNA TAXI AEREO LTDA";Rio de Janeiro - RJ;Fev;Mar;Mar;"paulo.jesus";"00058.086697/2023-37";"141/2024 141/2024";"A"
2332-24;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"VIA TÁXI AÉREO LTDA";Macaé - RJ;Abr;Abr;Abr;"paulo.jesus";"00058.086695/2023-48";"GRC 535/2024";"A"
2333-24;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"WDA TÁXI AÉREO LTDA";Várzea Grande - MT;Ago;Ago;Ago;"luciano.soares";"00058.086699/2023-26";"GRC 629/2024 629/2024";"A"
2334-24;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"AMAPIL TAXI AEREO LTDA";Campo Grande - MS;Mar;Mar;Mar;"paulo.jesus";"00058.086673/2023-88";"159/2024";"A"
