Item;Atividade;Gerencia;Setor;Regulado;Cidade;Mes;MesAgendado;MesRealizado;GIASO;Processo;PCDP;Prioridade
N3154-22;"O121-504 - Inspeção de Vigilância de Programa de Treinamento de Voo - PIL";GOAG;GOAG_GTVC;"a definir";a definir;Out;;;"";"";"";"B"
N3155-22;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"A definir";A definir;Nov;;;"";"";"";"B"
N3156-22;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"A definir";A definir;Dez;;;"";"";"";"B"
N3157-22;"O135-901 - Inspeção Remota de Registros";GOAG;GOAG_GTVC;"A definir";A definir;Fev;;;"";"";"";"B"
N3158-22;"O135-901 - Inspeção Remota de Registros";GOAG;GOAG_GTVC;"A definir";A definir;Mar;;;"";"";"";"B"
N3159-22;"O135-901 - Inspeção Remota de Registros";GOAG;GOAG_GTVC;"A definir";A definir;Abr;;;"";"";"";"B"
N3160-22;"O135-901 - Inspeção Remota de Registros";GOAG;GOAG_GTVC;"A definir";A definir;Mai;;;"";"";"";"B"
N3161-22;"O135-901 - Inspeção Remota de Registros";GOAG;GOAG_GTVC;"A definir";A definir;Mai;;;"";"";"";"B"
N3162-22;"O135-901 - Inspeção Remota de Registros";GOAG;GOAG_GTVC;"A definir";A definir;Jun;;;"";"";"";"B"
N3163-22;"O135-901 - Inspeção Remota de Registros";GOAG;GOAG_GTVC;"A definir";A definir;Jun;;;"";"";"";"B"
N3164-22;"O135-901 - Inspeção Remota de Registros";GOAG;GOAG_GTVC;"A definir";A definir;Jul;;;"";"";"";"B"
N3165-22;"O135-901 - Inspeção Remota de Registros";GOAG;GOAG_GTVC;"A definir";A definir;Ago;;;"";"";"";"B"
N3166-22;"O135-901 - Inspeção Remota de Registros";GOAG;GOAG_GTVC;"A definir";A definir;Set;;;"";"";"";"B"
N3167-22;"O135-901 - Inspeção Remota de Registros";GOAG;GOAG_GTVC;"A definir";A definir;Set;;;"";"";"";"B"
N3168-22;"O135-901 - Inspeção Remota de Registros";GOAG;GOAG_GTVC;"A definir";A definir;Out;;;"";"";"";"B"
N3169-22;"O135-901 - Inspeção Remota de Registros";GOAG;GOAG_GTVC;"A definir";A definir;Out;;;"";"";"";"B"
N3170-22;"O135-901 - Inspeção Remota de Registros";GOAG;GOAG_GTVC;"A definir";A definir;Nov;;;"";"";"";"B"
N3171-22;"O135-901 - Inspeção Remota de Registros";GOAG;GOAG_GTVC;"A definir";A definir;Dez;;;"";"";"";"B"
N3172-22;"O135-902 - Inspeção Remota de Sistema de Gerenciamento da Segurança Operacional";GOAG;GOAG_GTVC;"A definir";A definir;Fev;;;"";"";"";"B"
