Item;Atividade;Gerencia;Setor;Regulado;Cidade;Mes;MesAgendado;MesRealizado;GIASO;Processo;PCDP;Prioridade
D1314-22;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"NHR Táxi Aéreo Ltda";Sorocaba - SP;Fev;Ago;Ago;"savio.ferreira";"00058.025381/2022-98";"PCDP 2759/22, 2760, OS 1145/2022";"A"
D1315-22;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"SANTAFÉ TÁXI AÉREO LTDA.";Xanxerê - SC;Abr;Nov;Nov;"vinicius.figueiredo";"00058.019567/2022-16";"PCDP 3238/22, 3239/22, 3240/22, OS 494/2022";"A"
D1316-22;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"BITTEN TÁXI ÁEREO";Santa Rita - PB;Abr;Ago;Ago;"paulo.jesus";"00058.025270/2022-81";"PCDP 2571/22, 2572/22, OS 1064/2022";"A"
D1317-22;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"Ultraplana Táxi Aéreo Ltda";Rio de Janeiro - RJ;Jul;Set;Set;"vinicius.figueiredo";"00058.025483/2022-11";"PCDP 2730/22, 2733/22, OS 1126/22";"A"
D1318-22;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"Maricá Táxi Aéreo Ltda";Rio de Janeiro - RJ;Jul;Jul;Jul;"rafael.koeler";"00058.016411/2022-75";"381/2022";"A"
D1319-22;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"AEROTUR TÁXI AÉREO LTDA";Belém - PA;Jun;Mai;Mai;"jose.cosendei";"00058.009941/2022-67";"OS 229/2022";"A"
D1320-22;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"TAVAM - TÁXI AÉREO VALE DO MADEIRA";Manaus - AM;Jun;Jul;Jun;"jose.cosendei";"00058.010820/2022-68";"230/2022";"A"
D1321-22;"O135-902 - Inspeção Remota de Sistema de Gerenciamento da Segurança Operacional";GOAG;GOAG_GTVC;"HERINGER TÁXI AÉREO LTDA.";Imperatriz - MA;Set;Out;Nov;"vinicius.figueiredo";"00058.025486/2022-47";"REMOTA";"A"
D1322-22;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"TRI TÁXI AÉREO LTDA.";Canela - RS;Ago;Mar;Mar;"christian.duvoisin";"00058.016559/2022-18";"389/2022";"A"
D1323-22;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"Ases Táxi Aéreo Ltda.";Campos dos Goytacazes - RJ;Ago;Ago;Ago;"rafael.koeler";"00058.016370/2022-17";"380/2022";"A"
D1324-22;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"FRISONFLY";Eldorado do Sul - RS;Set;Nov;Nov;"christian.duvoisin";"00058.025489/2022-81";"PCDP 4326/22, 4336/22, OS 1409/2022";"A"
