Item;Atividade;Gerencia;Setor;Regulado;Cidade;Mes;MesAgendado;MesRealizado;GIASO;Processo;PCDP;Prioridade
D2254-24;"O135-507 - Inspeção de Vigilância de Voo de Acompanhamento";GOAG;GOAG_GTVC;"BRISTOW TÁXI AÉREO S/A";SBCB;Jul;Jul;Jul;"felipe.gonzaga";"00058.026586/2024-52";"GRC 1167/2024 1167/2024";"A"
D2255-24;"O135-507 - Inspeção de Vigilância de Voo de Acompanhamento";GOAG;GOAG_GTVC;"AZUL CONECTA";Rio de Janeiro - RJ;Jul;Jul;Jul;"eduardo.faria";"00058.026594/2024-07";"GRC 1254/2024";"A"
D2256-24;"O135-507 - Inspeção de Vigilância de Voo de Acompanhamento";GOAG;GOAG_GTVC;"AZUL CONECTA";SBJE;Jun;Nov;Nov;"bruno.jesus";"00058.012918/2024-11";"2000/2024";"A"
D2257-24;"O135-507 - Inspeção de Vigilância de Voo de Acompanhamento";GOAG;GOAG_GTVC;"APUI TÁXI AÉREO S/A";SBEG;Mai;Abr;Abr;"christian.duvoisin";"00058.003556/2024-78";"GRC 151/2024";"A"
D2258-24;"O135-507 - Inspeção de Vigilância de Voo de Acompanhamento";GOAG;GOAG_GTVC;"Omni Táxi Aéreo S/A";SBJR;Mai;Abr;Abr;"felipe.gonzaga";"00058.012680/2024-24";"GRC 645/2024";"A"
D2259-24;"O135-507 - Inspeção de Vigilância de Voo de Acompanhamento";GOAG;GOAG_GTVC;"ATA - AEROTÁXI ABAETÉ LTDA.";SNCL;Jul;Abr;Abr;"mauro.tonelli";"00058.012928/2024-57";"GRC  476/2024";"A"
D2260-24;"O135-507 - Inspeção de Vigilância de Voo de Acompanhamento";GOAG;GOAG_GTVC;"CHC DO BRASIL TAXI AEREO S.A.";SBJR;Jun;Jun;Jul;"felipe.gonzaga";"00058.012917/2024-77";"926/2024 960/2024 1022/2024";"A"
D2261-24;"O135-507 - Inspeção de Vigilância de Voo de Acompanhamento";GOAG;GOAG_GTVC;"AEROMASTER TÁXI AÉREO LTDA";SBMT;Jun;Set;Set;"renato.ferrante";"00058.047895/2024-66";"1602/2024";"A"
D2262-24;"O135-507 - Inspeção de Vigilância de Voo de Acompanhamento";GOAG;GOAG_GTVC;"ATA - AEROTÁXI ABAETÉ LTDA.";SBSA;Out;Ago;Ago;"eduardo.faria";"00058.012955/2024-20";"1454/2024";"A"
D2263-24;"O135-507 - Inspeção de Vigilância de Voo de Acompanhamento";GOAG;GOAG_GTVC;"AZUL CONECTA";SBCY;Jul;Jul;Jul;"mauro.tonelli";"00058.012924/2024-79";"GRC 729/2024 1250/2024";"A"
D2264-24;"O135-507 - Inspeção de Vigilância de Voo de Acompanhamento";GOAG;GOAG_GTVC;"LÍDER TÁXI AÉREO S/A - AIR BRASIL (UOH)";SBJR;Jul;Jun;Jun;"clementino.neto";"00058.012922/2024-80";"OS 955/24 955/2024 955/2024 955/2024";"A"
D2265-24;"O135-507 - Inspeção de Vigilância de Voo de Acompanhamento";GOAG;GOAG_GTVC;"Omni Táxi Aéreo S/A";SBJR;Ago;Mai;Mai;"felipe.gonzaga";"00058.012939/2024-37";"925/2024";"A"
D2266-24;"O135-507 - Inspeção de Vigilância de Voo de Acompanhamento";GOAG;GOAG_GTVC;"Omni Táxi Aéreo S/A";SBJR;Ago;Jun;Jun;"renato.ferrante";"00058.012935/2024-59";"GRC 813/2024";"A"
D2267-24;"O135-507 - Inspeção de Vigilância de Voo de Acompanhamento";GOAG;GOAG_GTVC;"AZUL CONECTA";SBRF;Ago;Mai;Mai;"mauro.tonelli";"00058.012932/2024-15";"GRC 730/2024 730/2024";"A"
D2268-24;"O135-507 - Inspeção de Vigilância de Voo de Acompanhamento";GOAG;GOAG_GTVC;"CHC DO BRASIL TAXI AEREO S.A.";SBJR;Set;Mai;Mai;"renato.ferrante";"00058.012949/2024-72";"GRC 812/2024";"A"
D2269-24;"O135-507 - Inspeção de Vigilância de Voo de Acompanhamento";GOAG;GOAG_GTVC;"SBBR";Brasília -DF;Dez;Dez;Dez;"marco.menezes";"00058.012947/2024-83";"2125/2024";"A"
D2270-24;"O135-507 - Inspeção de Vigilância de Voo de Acompanhamento";GOAG;GOAG_GTVC;"AZUL CONECTA";SBEG;Set;Out;Out;"eduardo.faria";"00058.012946/2024-39";"1775/2024";"A"
D2271-24;"O135-507 - Inspeção de Vigilância de Voo de Acompanhamento";GOAG;GOAG_GTVC;"ATA - AEROTÁXI ABAETÉ LTDA.";SBSV;Set;Abr;Abr;"antonio.dias";"00058.012943/2024-03";"516/2024 516/2024";"A"
D2272-24;"O135-507 - Inspeção de Vigilância de Voo de Acompanhamento";GOAG;GOAG_GTVC;"AZUL CONECTA";SBJR;Set;Set;Set;"fausto.jacobsen";"00058.012941/2024-14";"1567/2024";"A"
D2273-24;"O135-507 - Inspeção de Vigilância de Voo de Acompanhamento";GOAG;GOAG_GTVC;"BRISTOW TÁXI AÉREO S/A";SBCB;Out;Ago;Ago;"felipe.gonzaga";"00058.012952/2024-96";"1372/2024";"A"
D2274-24;"O135-507 - Inspeção de Vigilância de Voo de Acompanhamento";GOAG;GOAG_GTVC;"AZUL CONECTA";SBFZ;Mai;Mai;Mai;"marcos.duarte";"00058.026650/2024-03";"GRC 652/2024";"A"
D2275-24;"O135-507 - Inspeção de Vigilância de Voo de Acompanhamento";GOAG;GOAG_GTVC;"Omni Táxi Aéreo S/A";SBJR;Nov;Mai;Mai;"renato.ferrante";"00058.012959/2024-16";"GRC 799/2024";"A"
D2276-24;"O135-507 - Inspeção de Vigilância de Voo de Acompanhamento";GOAG;GOAG_GTVC;"LÍDER TÁXI AÉREO S/A - AIR BRASIL (UOH)";SBJR;Nov;Mai;Mai;"renato.ferrante";"00058.012958/2024-63";"797/2024";"A"
D2277-24;"O135-507 - Inspeção de Vigilância de Voo de Acompanhamento";GOAG;GOAG_GTVC;"AZUL CONECTA";SBCT;Nov;Mai;Mai;"mauro.tonelli";"00058.012956/2024-74";"GRC 727/2024 727/2024";"A"
D2278-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;GOAG_GTVC;"SBMQ";Macapá - AP;Jun;Jun;Jun;"paulo.jesus";"00058.004367/2024-12";"GRC 734/2024";"A"
D2279-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;GOAG_GTVC;"SBSN";Santarém - PA;Jun;Jun;Jun;"jose.cosendei";"00058.004366/2024-78";"GRC 522/2024 522/2024 522/2024";"A"
D2280-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;GOAG_GTVC;"SBCY";Cuiabá - MT;Jul;Jul;Jul;"paulo.jesus";"00058.004365/2024-23";"GRC 735/2024";"A"
D2281-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;GOAG_GTVC;"SBNF";Navegantes SC;Nov;Nov;Nov;"gesse.silva";"00058.085436/2024-81";"1777/2024";"A"
D2282-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;GOAG_GTVC;"SBTE";Teresina - PI;Out;Out;Out;"paulo.jesus";"00058.004355/2024-98";"GRC 1709/2024";"A"
D2283-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;GOAG_GTVC;"SBCY";Cuiabá - MT;Ago;Ago;Ago;"luciano.soares";"00058.004354/2024-43";"GRC 629/2024 629/2024";"A"
D2284-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;GOAG_GTVC;"SBBH";Belo Horizonte - MG;Abr;Abr;Abr;"luciano.soares";"00058.000830/2024-57";"GRC 524/2024";"A"
D2285-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;GOAG_GTVC;"SBIH";Itaituba - PA;Jun;Jun;Jun;"luciano.soares";"00058.004353/2024-07";"GRC 522/2024 522/2024 522/2024";"A"
