Item;Atividade;Gerencia;Setor;Regulado;Cidade;Mes;MesAgendado;MesRealizado;GIASO;Processo;PCDP;Prioridade
D0552-25;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"AEROTUR TÁXI AÉREO LTDA";Belém - PA;Jun;Mai;Mai;"luciano.soares";"00058.002166/2025-61";"100/2025";"A"
D0553-25;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"SANTAFE TAXI AEREO LTDA";Xanxerê - SC;Dez;;;"jose.cosendei";"00058.002169/2025-03";"CANCELADA";"A"
D0554-25;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"NORTH STAR TÁXI ÁEREO LTDA";Fortaleza - CE;Mai;Jun;Jun;"jose.cosendei";"00058.001967/2025-18";"199/2025";"A"
D0555-25;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"ULTRA PILOTS TÁXI AÉREO LTDA";Rio de Janeiro - RJ;Mar;Mar;Mar;"paulo.jesus";"00058.001449/2025-96";"267/2025";"A"
D0556-25;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"AEROBRAN TÁXI AÉREO LTDA";Cruzeiro do Sul - AC;Dez;;;"luciano.soares";"00058.002477/2025-21";"CANCELADA";"A"
D0557-25;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"AEROVIDA TÁXI AÉREO LTDA?";Goiânia - GO;Dez;;;"antonio.dias";"00058.002491/2025-24";"CANCELADA";"A"
D0558-25;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"NHR TÁXI AÉREO LTDA";Sorocaba - SP;Dez;;;"jose.sabbagh";"00058.002388/2025-84";"CANCELADA";"A"
D0559-25;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"HELISUL EXPERIENCE LTDA";Curitiba - PR;Mai;Mai;Mai;"jose.cosendei";"00058.001969/2025-07";"636/2025";"A"
D0560-25;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"UIRAPURU TÁXI AÉREO LTDA.";Fortaleza - CE;Mai;Jun;Jun;"jose.cosendei";"00058.001970/2025-23";"199/2025";"A"
D0561-25;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"VOWE AIR MOBILITY LTDA";Belo Horizonte - MG;Dez;;;"fausto.jacobsen";"00058.002390/2025-53";"CANCELADA";"A"
D0562-25;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"HELIC FLY TÁXI AÉREO E SERVICOS AEREOS ESPECIALIZADOS LTDA?";Belo Horizonte - MG;Mar;Fev;Fev;"luciano.soares";"00058.001458/2025-87";"85/2025";"A"
D0563-25;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"HERINGER TÁXI AÉREO LTDA";Imperatriz - MA;Jun;Mai;Mai;"paulo.jesus";"00058.002172/2025-19";"694/2025";"A"
D0564-25;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"FRISONFLY HELICÓPTEROS SERVIÇO AÉREO ESPECIALIZADO E TÁXI AÉREO LTDA.";Eldorado do sul - RS;Abr;Abr;Abr;"jose.cosendei";"00058.001694/2025-01";"95/2025";"A"
D0565-25;"O135-508 - Inspeção Remota de Registros";GOAG;GOAG_GTVC;"EJ TAXI AEREO LTDA";Jundiaí - SP;Nov;Nov;Nov;"pablo.ximenes";"00058.002479/2025-10";"remota";"A"
D0566-25;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"VOARE TÁXI AÉREO LTDA";Cantá - RR;Jul;Jul;Jul;"luciano.soares";"00058.002280/2025-91";"200/2025";"A"
D0567-25;"O135-503 - Inspeção de Vigilância de Programa de Treinamento de Solo";GOAG;GOAG_GTVC;"AERO TRIP TÁXI AÉREO LTDA";Aquidauana - MT;Dez;;;"carlos.montino";"00058.104098/2024-93";"CANCELADA";"A"
D0568-25;"O135-503 - Inspeção de Vigilância de Programa de Treinamento de Solo";GOAG;GOAG_GTVC;"JET BLACK PARTICIPACOES LTDA";Jundiaí - SP;Fev;Fev;Fev;"marcelo.scussel";"00058.104063/2024-54";"360/2025";"A"
D0569-25;"O135-503 - Inspeção de Vigilância de Programa de Treinamento de Solo";GOAG;GOAG_GTVC;"RIMA - RIO MADEIRA AVIAÇÃO LTDA";Porto Velho - RO;Dez;;;"bruno.jesus";"00058.104083/2024-25";"CANCELADA";"A"
D0570-25;"O135-503 - Inspeção de Vigilância de Programa de Treinamento de Solo";GOAG;GOAG_GTVC;"SPCTA TÁXI AÉREO LTDA.";São Roque - SP;Dez;;;"mauro.tonelli";"00058.104085/2024-14";"CANCELADA";"A"
D0571-25;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"RIMA - RIO MADEIRA AVIAÇÃO LTDA";Porto Velho - RO;Jun;Nov;Nov;"bruno.jesus";"00058.104120/2024-03";"1853/2025";"A"
D0572-25;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"SPCTA TÁXI AÉREO LTDA.";Morristown - EUA;Dez;Set;Set;"marcelo.scussel";"00058.104122/2024-94";"1341/2025";"A"
D0573-25;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"AERO STAR TAXI AEREO LTDA";Salvador - BA;Nov;Dez;Dez;"fausto.jacobsen";"00058.071705/2025-11";"1959/2025";"A"
D0574-25;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"AERO TRIP TÁXI AÉREO LTDA";Aquidauana - MT;Dez;;;"carlos.montino";"00058.104127/2024-17";"CANCELADA";"A"
D0575-25;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"TAVAM - TÁXI AÉREO VALE DO MADEIRA";MANAUS - AM;Mai;Set;Set;"marcelo.scussel";"00058.040754/2025-01";"1268/2025";"A"
D0576-25;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"ZEFIRO TAXI AEREO LTDA";Campo Grande - MS;Dez;;;"carlos.montino";"00058.104457/2024-11";"CANCELADA";"A"
D0577-25;"O135-505 - Inspeção de Vigilância de Sistema de Gerenciamento da Segurança Operacional";GOAG;GOAG_GTVC;"HERINGER TÁXI AÉREO LTDA";Imperatriz - MA;Abr;Abr;Abr;"savio.ferreira";"00058.013078/2025-95";"remota";"A"
D0578-25;"O135-505 - Inspeção de Vigilância de Sistema de Gerenciamento da Segurança Operacional";GOAG;GOAG_GTVC;"CHC DO BRASIL TAXI AEREO S.A.";Rio de Janeiro - RJ;Jul;Ago;Ago;"savio.ferreira";"00058.047535/2025-45";"remota";"A"
