Item;Atividade;Gerencia;Setor;Regulado;Cidade;Mes;MesAgendado;MesRealizado;GIASO;Processo;PCDP;Prioridade
D1760-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"NHR Táxi Aéreo Ltda";Sorocaba - SP;Jan;Mar;Mar;"luciano.soares";"00058.073773/2022-63";"OS 84/2023";"A"
D1765-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"HELISUL EXPERIENCE LTDA";Curitiba - PR;Fev;Mar;Abr;"jose.cosendei";"00058.073774/2022-16";"PCDP 0276/23, 0277/23, OS 122/2023";"A"
D1770-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"AEROBRAN TÁXI AÉREO LTDA";Cruzeiro do Sul - AC;Mar;Abr;Abr;"paulo.jesus";"00058.074073/2022-96";"OS 82/2023";"A"
D1771-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"TRI TÁXI AÉREO LTDA.";Canela - RS;Mar;Fev;Fev;"jose.cosendei";"00058.074070/2022-52";"PCDP 0179/23, 0180/23, OS 78/2023";"A"
D1779-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"AEROTUR TÁXI AÉREO LTDA";Belém - PA;Jun;Ago;Ago;"fausto.jacobsen";"00058.074239/2022-74";"1366/2023 - Agendada 17/08/2023";"A"
D1787-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"SANTAFÉ TÁXI AÉREO LTDA.";Xanxerê - SC;Ago;Set;Set;"paulo.jesus";"00058.074247/2022-11";"OS 1720/2023 Agendada 19/09/2023";"A"
D1788-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"NORTH STAR TÁXI ÁEREO LTDA";Fortaleza - CE;Ago;Mai;Mai;"fausto.jacobsen";"00058.074246/2022-76";"OS 850/2023 Agendada 24/05/2023";"A"
D1789-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"HELIC FLY TÁXI AÉREO E SERVICOS AEREOS ESPECIALIZADOS LTDA?";Belo Horizonte - MG;Ago;Jun;Jun;"luciano.soares";"00058.074242/2022-98";"OS 667/2023 Agendada 22/06/2023";"A"
D1790-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"UIRAPURU TÁXI AÉREO LTDA.";Fortaleza - CE;Ago;Mai;Mai;"fausto.jacobsen";"00058.074241/2022-43";"OS 850/2023 Agendada 25/05/2023";"A"
D1791-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"CEARÁ TÁXI ÁEREO LTDA.";Teresina - PI;Set;Jun;Jun;"paulo.jesus";"00058.074254/2022-12";"OS 1016/2023  Agendada 13/06/2023";"A"
D1792-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"ULTRA PILOTS TÁXI AÉREO LTDA";Rio de Janeiro - RJ;Set;Mai;Jun;"rafael.koeler";"00058.074251/2022-89";"OS 831/2023 Agendada 31/05/2023";"A"
D1793-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"AMBIPAR RESPONSE FLYONE AVIATION S/A";Rio de Janeiro - RJ;Set;Set;Set;"paulo.jesus";"00058.074248/2022-65";"1626/2023 Agendada 04/09/2023";"A"
D1795-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"AEROMED TÁXI AÉREO LTDA";Belo Horizonte - MG;Out;Jun;Jun;"jose.cosendei";"00058.074262/2022-69";"OS 667/2023 Agendada 20/06/2023";"A"
D1796-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"HERINGER TÁXI AÉREO LTDA";Imperatriz - MA;Out;Out;Out;"fausto.jacobsen";"00058.074260/2022-70";"OS 1733/2023 Agendada 18/10/2023";"A"
D1797-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"Frisonfly Helicópteros Serviço Aéreo Especializado e Táxi Aéreo Ltda.";Eldorado do Sul - RS;Out;Set;Set;"jose.cosendei";"00058.074258/2022-09";"OS 1489/2023 - Agendada 12/09/2023";"A"
D1798-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"Maricá Táxi Aéreo Ltda";Rio de Janeiro - RJ;Nov;Mai;Mai;"rafael.koeler";"00058.074265/2022-01";"OS 829/2023 Agendada 16/05/2023";"A"
D1799-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"UPSTAR AVIATION S/A";São Paulo - SP;Nov;Out;Out;"luciano.soares";"00058.074263/2022-11";"OS 1945/2023 Agendada 17/10//2023";"A"
D1800-23;"O135-503 - Inspeção de Vigilância de Programa de Treinamento de Solo";GOAG;GOAG_GTVC;"NHR Táxi Aéreo Ltda";Sorocaba - SP;Jan;Abr;Abr;"luciano.soares";"00058.071268/2022-84";"PCDP 0557/23, OS 284/2023";"A"
D1801-23;"O135-503 - Inspeção de Vigilância de Programa de Treinamento de Solo";GOAG;GOAG_GTVC;"SETE TÁXI AÉREO LTDA";Goiânia - GO;Jan;Fev;Fev;"marcos.duarte";"00058.071272/2022-42";"PCDP 0560/23, OS 283/2023";"A"
D1802-23;"O135-503 - Inspeção de Vigilância de Programa de Treinamento de Solo";GOAG;GOAG_GTVC;"Líder Táxi Aéreo S/A - Air Brasil";Belo Horizonte - MG;Jan;Jan;Jan;"eduardo.faria";"00058.071266/2022-95";"OS 147/2023";"A"
