Item;Atividade;Gerencia;Setor;Regulado;Cidade;Mes;MesAgendado;MesRealizado;GIASO;Processo;PCDP;Prioridade
1825-23;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"HENRIMAR TÁXI AÉREO LTDA";Salvador - BA;Fev;Set;Set;"felipe.gonzaga";"00058.070976/2022-06";"OS 1669/2023 Agendado 11/09/2023";"A"
1826-23;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"NO LIMITS TÁXI AÉREO LTDA";São Paulo - SP;Fev;Fev;Fev;"mauro.tonelli";"00058.070982/2022-55";"PCDP 0256/23, OS 130/2023";"A"
1827-23;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"TÁXI AÉREO FORTALEZA LTDA";Fortaleza - CE;Fev;Abr;Abr;"marcos.duarte";"00058.071008/2022-17";"PCDP 0973/23, OS 463/2023";"A"
1828-23;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"VOLARE TÁXI AÉREO LTDA";Curitiba - PR;Fev;Mar;Mar;"felipe.gonzaga";"00058.071014/2022-66";"OS 605/2023";"A"
1829-23;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"AZUL CONECTA";Manaus - AM;Fev;Fev;Fev;"eduardo.faria";"00058.075789/2022-19";"PCDP 0554/23,OS 279/2023";"A"
1830-23;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"AEROVIDA TÁXI AÉREO LTDA?";Goiânia - GO;Fev;Fev;Fev;"antonio.dias";"00058.070957/2022-71";"PCDP 0187/23, OS 42/2023";"A"
1831-23;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"AMBIPAR RESPONSE FLYONE AVIATION S/A";Rio de Janeiro - RJ;Fev;Fev;Fev;"felipe.gonzaga";"00058.070961/2022-30";"OS 280/2023";"A"
1832-23;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"BIMAVA TÁXI AÉREO LTDA";São Paulo - SP;Fev;Abr;Abr;"eduardo.faria";"00058.070969/2022-04";"OS 712/2023";"A"
1833-23;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"ALL JET TÁXI ÁEREO LTDA";Flightsafety Atlanta (GE);Mar;Nov;Nov;"antonio.dias";"00058.071017/2022-08";"OS 1843/2023 Agendada  08/11/2023 2322/2023";"A"
1834-23;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"SOLAR TÁXI AÉREO LTDA";San Antonio - TX;Mar;Abr;Abr;"christian.duvoisin";"00058.071033/2022-92";"PCDP 0379/23, OS 135/2023";"A"
1835-23;"O135-508 - Inspeção Remota de Registros";GOAG;GOAG_GTVC;"BLACK TÁXI AÉREO";Belo Horizonte - MG;Mar;Mar;Mar;"marcos.duarte";"00058.071018/2022-44";"PCDP 0377/23, OS175/2023";"A"
1836-23;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"FALCON TÁXI AÉREO EIRELI";Rio de Janeiro - RJ;Mar;Jan;Jan;"antonio.dias";"00058.071021/2022-68";"OS 204/2023";"A"
1837-23;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"HG Aviation";Rio de Janeiro - RJ;Mar;Abr;Abr;"felipe.gonzaga";"00058.071023/2022-57";"OS 747/2023";"A"
1838-23;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"AVALON TÁXI AÉREO LTDA";Penha-SC;Mar;Out;Out;"renato.ferrante";"00058.071684/2022-82";"OS 1809/2023 Agendada 20/10/2023 1809/2023";"A"
1842-23;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"AlphajetsTáxi Aéreo Ltda";Wichita-Kansas EUA - ICT / KICT;Abr;Abr;Jun;"christian.duvoisin";"00058.075924/2022-18";"PCDP 0453/23, OS 139/2023";"A"
